 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
DivergenceEffectShortDescription_AddPerk_NegativeAlterationCurse_2,Apply <style=Number>+60</style><style=healthtotal> Health</style>,Applique <style=Number>+60</style><style=healthtotal> Vie</style>,目标获得<style=Number>+60</style>点<style=healthtotal>生命值</style>,施加<style=healthtotal>生命值</style><style=Number>+60</style>,<style=healthtotal>体力</style>を<style=Number>+60</style>付与,Добавляет <style=Number>60</style><style=healthtotal> ОЗ</style>,Надається <style=Number>+60</style> од. <style=healthtotal>здоров'я</style>,Wendet <style=Number>+60</style><style=healthtotal> Gesundheit</style> an,Otorga <style=Number>+60</style> de <style=healthtotal>salud</style>,Aplica <style=Number>+60%</style> de <style=healthtotal>Vida</style>,<style=healthtotal>체력</style> <style=Number>+60</style> 유발
DivergenceEffectFullDescription_AddPerk_ReduceCritCurse,Whenever a <style=divergenceOutline><style=KeyWord>critical hit</style></style> is landed: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style> <style=divergenceoutline><style=critical>Critical</style></style> until the end of the <style=divergenceOutline><style=Night>Night</style></style>.,Quand un <style=divergenceOutline><style=Critical>Coup Critique</style></style> est infligé<nbsp>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style> <style=divergenceoutline><style=critical>Critique</style></style> jusqu'à la fin de la <style=divergenceOutline><style=Night>Nuit</style></style>.,每造成一次<style=divergenceOutline><style=KeyWord>暴击</style></style>：<style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style><style=divergenceOutline><style=critical>暴击</style></style>，效果持续至<style=divergenceOutline><style=Night>夜晚</style></style>结束。,每當造成一次<style=divergenceOutline><style=KeyWord>暴擊</style></style>時：<style=divergenceoutline><style=critical>暴擊</style></style><style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style>，持續到<style=divergenceOutline><style=Night>夜晚</style></style>結束為止。,<style=divergenceOutline><style=KeyWord>会心ヒット</style></style>発生時:<style=divergenceOutline><style=Night>夜</style></style>終了まで<style=divergenceoutline><style=critical>会心</style></style> <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style>。,За каждый <style=divergenceOutline><style=KeyWord>критический удар</style></style> герои до конца <style=divergenceOutline><style=Night>ночи</style></style> получают <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style> к <style=divergenceoutline><style=critical>шансу критического урона</style></style>.,Коли завдано <style=divergenceOutline><style=KeyWord>критичний удар</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style> <style=divergenceoutline><style=critical>шансу критичного удару</style></style> до кінця <style=divergenceOutline><style=Night>ночі</style></style>.,Immer wenn ein <style=divergenceOutline><style=KeyWord>kritischer Treffer</style></style> gelandet wird: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3 %</style></style> <style=divergenceoutline><style=critical>kritischer Treffer</style></style> bis zum Ende der <style=divergenceOutline><style=Night>Nacht</style></style>.,Cuando se inflige un <style=divergenceOutline><style=KeyWord>golpe crítico</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3 %</style></style> al <style=divergenceoutline><style=critical>crítico</style></style> hasta que acabe la <style=divergenceOutline><style=Night>noche</style></style>.,Sempre que houver um <style=divergenceOutline><style=KeyWord>acerto crítico</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style> de <style=divergenceoutline><style=critical>Crítico</style></style> até o fim da <style=divergenceOutline><style=Night>Noite</style></style>.,<style=divergenceOutline><style=KeyWord>치명타</style></style>가 발생할 때마다: <style=divergenceOutline><style=Night>밤</style></style>이 끝날 때까지 <style=divergenceoutline><style=critical>치명타</style></style> <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-3%</style></style>
DivergenceEffectFullDescriptionTooltip_AddPerk_ReduceCritCurse,Whenever a <style=KeyWord>critical hit</style> is landed: <style=KeywordNb>-3%</style> <style=critical>Critical</style> until the end of the <style=Night>Night</style>.,Quand un <style=Critical>Coup Critique</style> est infligé<nbsp>: <style=KeywordNb>-3%</style> <style=critical>Critique</style> jusqu'à la fin de la <style=Night>Nuit</style>.,每造成一次<style=KeyWord>暴击</style>：<style=KeywordNb>-3%</style><style=critical>暴击</style>，效果持续至<style=Night>夜晚</style>结束。,每當造成一次<style=KeyWord>暴擊</style>時：<style=critical>暴擊</style><style=KeywordNb>-3%</style>，持續到<style=Night>夜晚</style>結束為止。,<style=KeyWord>会心ヒット</style>発生時:<style=Night>夜</style>終了まで<style=critical>会心</style><style=KeywordNb>-3%</style>。,За каждый <style=KeyWord>критический удар</style> герои до конца <style=Night>ночи</style> получают <style=KeywordNb>-3%</style> к <style=critical>шансу критического урона</style>.,Коли завдано <style=KeyWord>критичний удар</style>: <style=KeywordNb>-3%</style> <style=critical>шансу критичного удару</style> до кінця <style=Night>ночі</style>.,Immer wenn ein <style=KeyWord>kritischer Treffer</style> gelandet wird: <style=KeywordNb>-3 % </style><style=critical>kritischer Treffer</style> bis zum Ende der <style=Night>Nacht</style>.,Cuando se inflige un <style=KeyWord>golpe crítico</style>: <style=KeywordNb>-3 % al</style> <style=critical>crítico</style> hasta que acabe la <style=Night>noche</style>.,Sempre que houver um <style=KeyWord>acerto crítico</style>: <style=KeywordNb>-3%</style> de <style=critical>Crítico</style> até o fim da <style=Night>Noite</style>.,<style=KeyWord>치명타</style>가 발생할 때마다: <style=Night>밤</style>이 끝날 때까지 </style><style=critical>치명타 <style=KeywordNb>-3%</style>
DivergenceEffectShortDescription_AddPerk_ReduceCritCurse,<style=Number>-3%</style> <style=critical>Critical</style>,<style=Number>-3%</style> <style=critical>Critique</style>,<style=Number>-3%</style> <style=critical>暴击</style>,<style=critical>暴擊</style><style=Number>-3%</style>,<style=critical>会心</style><style=Number>-3%</style>,<style=Number>-3%</style> к <style=critical>шансу критического урона</style>,<style=Number>-3%</style> <style=critical>шансу критичного удару</style>,<style=Number>-3 %</style> <style=critical>kritischer Treffer</style>,<style=Number>-3 %</style> al <style=critical>crítico</style>,<style=Number>-3%</style> de <style=critical>Crítico</style>,<style=critical>치명타</style> <style=Number>-3%</style>
DivergenceEffectFullDescription_AddPerk_ReduceCritCurse_2,Whenever a <style=divergenceOutline><style=KeyWord>critical hit</style></style> is landed: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style> <style=divergenceoutline><style=critical>Critical</style></style> until the end of the <style=divergenceOutline><style=Night>Night</style></style>.,Quand un <style=divergenceOutline><style=Critical>Coup Critique</style></style> est infligé<nbsp>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style> <style=divergenceoutline><style=critical>Critique</style></style> jusqu'à la fin de la <style=divergenceOutline><style=Night>Nuit</style></style>.,每造成一次<style=divergenceOutline><style=KeyWord>暴击</style></style>：<style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style><style=divergenceOutline><style=critical>暴击</style></style>，效果持续至<style=divergenceOutline><style=Night>夜晚</style></style>结束。,每當造成一次<style=divergenceOutline><style=KeyWord>暴擊</style></style>時：<style=divergenceoutline><style=critical>暴擊</style></style><style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style>，持續到<style=divergenceOutline><style=Night>夜晚</style></style>結束為止。,<style=divergenceOutline><style=KeyWord>会心ヒット</style></style>発生時:<style=divergenceOutline><style=Night>夜</style></style>終了まで<style=divergenceoutline><style=critical>会心</style></style><style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style>。,За каждый <style=divergenceOutline><style=KeyWord>критический удар</style></style> герои до конца <style=divergenceOutline><style=Night>ночи</style></style> получают <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style> к <style=divergenceoutline><style=critical>шансу критического урона</style></style>.,Коли завдано <style=divergenceOutline><style=KeyWord>критичний удар</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style> <style=divergenceoutline><style=critical>шансу критичного удару</style></style> до кінця <style=divergenceOutline><style=Night>ночі</style></style>.,Immer wenn ein <style=divergenceOutline><style=KeyWord>kritischer Treffer</style></style> gelandet wird: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7 %</style></style> <style=divergenceoutline><style=critical>kritischer Treffer</style></style> bis zum Ende der <style=divergenceOutline><style=Night>Nacht</style></style>.,Cuando se inflige un <style=divergenceOutline><style=KeyWord>golpe crítico</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7 %</style></style> al <style=divergenceoutline><style=critical>crítico</style></style> hasta que acabe la <style=divergenceOutline><style=Night>noche</style></style>.,Sempre que houver um <style=divergenceOutline><style=KeyWord>acerto crítico</style></style>: <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style> de <style=divergenceoutline><style=critical>Crítico</style></style> até o fim da <style=divergenceOutline><style=Night>Noite</style></style>.,<style=divergenceOutline><style=KeyWord>치명타</style></style>가 발생할 때마다: <style=divergenceOutline><style=Night>밤</style></style>이 끝날 때까지 <style=divergenceoutline><style=critical>치명타</style></style> <style=DivergenceKeywordOutline><style=DivergenceKeywordColor>-7%</style></style>
DivergenceEffectFullDescriptionTooltip_AddPerk_ReduceCritCurse_2,Whenever a <style=KeyWord>critical hit</style> is landed: <style=KeywordNb>-7%</style> <style=critical>Critical</style> until the end of the <style=Night>Night</style>.,Quand un <style=Critical>Coup Critique</style> est infligé<nbsp>: <style=KeywordNb>-7%</style> <style=critical>Critique</style> jusqu'à la fin de la <style=Night>Nuit</style>.,每造成一次<style=KeyWord>暴击</style>：<style=KeywordNb>-7%</style><style=critical>暴击</style>，效果持续至<style=Night>夜晚</style>结束。,每當造成一次<style=KeyWord>暴擊</style>時：<style=critical>暴擊</style><style=KeywordNb>-7%</style>，持續到<style=Night>夜晚</style>結束為止。,<style=KeyWord>会心ヒット</style>発生時:<style=Night>夜</style>終了まで<style=critical>会心</style><style=KeywordNb>-7%</style>。,За каждый <style=KeyWord>критический удар</style> герои до конца <style=Night>ночи</style> получают <style=KeywordNb>-7%</style> к <style=critical>шансу критического урона</style>.,Коли завдано <style=KeyWord>критичний удар</style>: <style=KeywordNb>-7% </style><style=critical>шансу критичного удару</style> до кінця <style=Night>ночі</style>.,Immer wenn ein <style=KeyWord>kritischer Treffer</style> gelandet wird: <style=KeywordNb>-7 % </style><style=critical>kritischer Treffer</style> bis zum Ende der <style=Night>Nacht</style>.,Cuando se inflige un <style=KeyWord>golpe crítico</style>: <style=KeywordNb>-7 %</style> al <style=critical>crítico</style> hasta que acabe la <style=Night>noche</style>.,Sempre que houver um <style=KeyWord>acerto crítico</style>: <style=KeywordNb>-7% de </style><style=critical>Crítico</style> até o fim da <style=Night>Noite</style>.,<style=KeyWord>치명타</style>가 발생할 때마다: <style=Night>밤</style>이 끝날 때까지 </style><style=critical>치명타 <style=KeywordNb>-7%</style>
DivergenceEffectShortDescription_AddPerk_ReduceCritCurse_2,<style=Number>-7%</style> <style=critical>Critical</style>,<style=Number>-7%</style> <style=critical>Critique</style>,<style=Number>-7%</style> <style=critical>暴击</style>,<style=critical>暴擊</style><style=Number>-7%</style>,<style=critical>会心</style><style=Number>-7%</style>,<style=Number>-7%</style> к <style=critical>шансу критического урона</style>,<style=Number>-7%</style> <style=critical>шансу критичного удару</style>,<style=Number>-7 %</style> <style=critical>kritischer Treffer</style>,<style=Number>-7 %</style> al <style=critical>crítico</style>,<style=Number>-7%</style> de <style=critical>Crítico</style>,<style=critical>치명타</style> <style=Number>-7%</style>
PerkEffectInformations_ThirdEye,Enemies to hit: {4},Ennemis à toucher<nbsp>: {4},还需击中的敌人数量：{4},還需擊中的敵人數量：{4},攻撃するエネミー: {4},Ещё попаданий: {4},Ще ударити ворогів: {4},zu treffende Gegner: {4},Enemigos por golpear: {4},Inimigos a serem golpeados: {4},명중해야 하는 적: {4}
PerkDescription_HeadOn,"Every <style=KeyWord>{0} tiles traveled</style> (excluding <style=""Skill"">skills</style> with <style=NoMomentum>No Momentum</style>), the next attack gets:
{1}.
{2}
{4}.
<style=Attenuated>This modifier doesn't stack.</style>","Toutes les <style=KeyWord>{0} cases parcourues</style> (excluant les <style=""Skill"">compétences</style> <style=NoMomentum>Sans Inertie</style>), la prochaine attaque gagne<nbsp>:
{1}.
{2}
{4}.
<style=Attenuated>Ce modificateur n'est pas cumulable.</style>","每<style=KeyWord>移动{0}格</style>（不包含<style=NoMomentum>横冲直撞无效</style>的<style=""Skill"">技能</style>），下一次攻击将获得：
{1}
{2}
4}
<style=Attenuated>此加成不可叠加。</style>","每<style=KeyWord>移動{0}格</style>（不包含<style=NoMomentum>橫衝直撞無效</style>的<style=""Skill"">技能</style>），下一次攻擊將獲得：
{1}
{2}
{4}
<style=Attenuated>此加成不可疊加。</style>","<style=KeyWord>{0}タイル移動</style>するごとに(<style=NoMomentum>衝撃無し</style><style=""Skill"">スキル</style>は除く)、次の攻撃に以下の効果を付与する:
{1}。
{2}
{4}。
<style=Attenuated>この効果は重複しない</style>。","<style=KeyWord>Пройдя {0} яч.</style> (<style=""Skill"">навыки</style> со свойством <style=NoMomentum>""Без разгона""</style> не считаются), герой получает бонус к следующей атаке:
{1}.
{2}
{4}.
<style=Attenuated>Эффект не накапливается.</style>","За кожні <style=KeyWord>{0} подолані плитки</style> (за винятком <style=""Skill"">вмінь</style> <style=NoMomentum>без імпульсу</style>), наступна атака отримує:
{1}.
{2}
{4}.
<style=Attenuated>Цей модифікатор не поєднується.</style>","Für alle <style=KeyWord>{0} zurückgelegten Felder</style> (mit Ausnahme von <style=""Skill"">Fähigkeiten</style> mit <style=NoMomentum>Kein Momentum</style>), hat der nächste Angriff:
{1}.
{2}
{4}.
<style=Attenuated>Dieser Modifikator ist nicht stapelbar.</style>","Al cruzar <style=KeyWord>{0} casillas</style> (excepto con <style=""Skill"">habilidades</style> <style=NoMomentum>sin impulso</style>), el siguiente ataque obtiene:
{1}.
{2}
{4}.
<style=Attenuated>Este modificador no se acumula.</style>","A cada <style=KeyWord>{0} casas percorridas</style> (excluindo <style=""Skill"">habilidades</style> <style=NoMomentum>Sem Impulso</style>), o próximo ataque recebe:
{1}.
{2}
{4}.
<style=Attenuated>Este modificador não acumula.</style>","<style=KeyWord>{0}타일을 이동</style>할 때마다 (<style=NoMomentum>기세 없음</style>을 보유한 <style=""Skill"">스킬</style> 제외) 다음 차례 공격에 적용:
{1}
{2}
{4}
<style=Attenuated>해당 보정치는 중첩되지 않음</style>"
PerkEffectInformations_HeadOn,Tiles to travel: {3},Cases à parcourir<nbsp>: {3},还需移动格数：{3},還需移動格數：{3},移動するタイル: {3},Осталось пройти: {3} яч.,Подолати плиток: {3},Felder zurückzulegen: {3},Casillas que atravesar: {3},Casas a serem percorridas: {3}.,이동 타일: {3}
PerkDescription_Nimble,"As long as the Hero is at <style=KeyWord>full Health</style>:
{0}.
{1}.
{2}.","Tant que le Héros est en <style=KeyWord>pleine santé</style><nbsp>:
{0}.
{1}.
{2}.","当英雄处于<style=KeyWord>满血状态</style>时：
{0}
{1}
{2}","當英雄處於<style=KeyWord>滿血狀態</style>時：
{0}
{1}
{2}","英雄の体力が<style=KeyWord>満タン</style>の間:
{0}。
{1}。
{2}。","Пока у героя <style=KeyWord>полное здоровье</style>:
{0}.
{1}.
{2}.","Поки герой має <style=KeyWord>повне здоров'я</style>:
 {0}.
 {1}.
{2}.","Solange der Held <style=KeyWord>volle Gesundheit</style> hat:
{0}.
{1}.
{2}.","Mientras el héroe tenga <style=KeyWord>salud plena</style>:
{0}.
{1}.
{2}.","Enquanto o Herói estiver com <style=KeyWord>Saúde cheia</style>:
{0}.
{1}.
{2}.","영웅이 <style=KeyWord>체력 만땅</style>인 경우:
{0}
{1}
{2}"
PerkDescription_DeadlyRanger,"For each {4} <style=Keyword>equipped</style>: {0}.
For each {5} <style=Keyword>equipped</style>: {1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Pour chaque {4} <style=Keyword>équipée</style> : {0}.
Pour chaque {5} <style=Keyword>équipée</style> : {1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","每<style=Keyword>装备</style>一件{4}：{0}。
每<style=Keyword>装备</style>一件{5}：{1}。
<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","每<style=Keyword>裝備</style>一個{4}：{0}。
每<style=Keyword>裝備</style>一個{5}：{1}。
<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","<style=Keyword>装備している</style>{4}ごとに: {0}。
<style=Keyword>装備している</style>{5}ごとに: {1}。
<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","Каждое <style=Keyword>взятое в руки</style> {4} даёт бонус: {0}.
Каждое <style=Keyword>взятое в руки</style> {5} даёт бонус: {1}.
<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент ""Elves of Amberwald""</style>","За кож. {4} <style=Keyword>у спорядженні</style>: {0}.
За кож. {5} <style=Keyword>у спорядженні</style>: {1}.
<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Für jede <style=Keyword>ausgerüstete</style> {4}: {0}.
Für jede <style=Keyword>ausgerüstete</style> {5}: {1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Por cada {4} <style=Keyword>equipada</style>: {0}.
Por cada {5} <style=Keyword>equipada</style>: {1}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","Para cada {4} <style=Keyword>equipada</style>: {0}.
Para cada {5} <style=Keyword>equipada</style>: {1}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","<style=Keyword>장착</style>한 {4} 하나당: {0}
<style=Keyword>장착</style>한 {5} 하나당: {1}
<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
PerkEffectInformations_DeadlyRanger,"Current bonus:
{2}
{3}","Bonus actuel :
{2}
{3}","当前加成：
{2}
{3}","目前加成：
{2}
{3}","現在のボーナス:
{2}
{3}","Текущий бонус:
{2};
{3}.","Поточний бонус:
{2}
{3}","Aktueller Bonus:
{2}
{3}","Bonificación actual:
{2}
{3}","Bônus atual:
{2}
{3}","현재 보너스:
{2}
{3}"
PerkEffectInformations_Sentry,{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5}
PerkDescription_Stunning,"{0}.
When <style=KeyWord>attacking</style> a <style=Stun>stunned</style> unit: {1} <style=PerkDamage>Perk Damage</style>.","{0}.
Lorsqu'une unité <style=Stun>étourdie</style> est <style=KeyWord>attaquée</style> : {1} de <style=PerkDamage>Dégâts de talent</style>.","{0}
当<style=KeyWord>攻击</style><style=Stun>眩晕</style>的敌人时：{1}<style=PerkDamage>天赋伤害</style>","{0}
當<style=KeyWord>攻擊</style><style=Stun>眩暈</style>的敵人時：{1}<style=PerkDamage>天賥傷害</style>","{0}。
<style=Stun>スタン</style>状態のユニットを<style=KeyWord>攻撃</style>時: {1}<style=PerkDamage>パークダメージ</style>。","{0}.
При <style=KeyWord>атаке</style> <style=Stun>оглушённой</style> цели: {1} <style=PerkDamage>Урона от перка</style>.","{0}.
Під час <style=KeyWord>атаки</style> <style=Stun>оглушеного</style> монстра: {1} <style=PerkDamage>Шкоди від перка</style>.","{0}.
Beim <style=KeyWord>Angriff</style> auf eine <style=Stun>betäubte</style> Einheit: {1} <style=PerkDamage>Perk-Schaden</style>.","{0}.
Al <style=KeyWord>atacar</style> a una unidad <style=Stun>aturdida</style>: {1} de <style=PerkDamage>Daño de beneficio</style>.","{0}.
Quando <style=KeyWord>atacar</style> uma unidade <style=Stun>atordoada</style>: {1} de <style=PerkDamage>Dano de Vantagem</style>.","{0}
<style=Stun>기절</style> 상태인 유닛을 <style=KeyWord>공격</style>할 경우: {1}"
PerkDescription_Warcry,"Every {0} <style=KeyWord>missing</style> {1} or {2}:
{3}, up to {8}, to <style=KeyWord>all</style> Heroes at the <style=KeyWord>start</style> of the Heroes' turn.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Tous les {0} de {1} ou {2} <style=KeyWord>manquants</style><nbsp>:
{3}, jusqu'à un maximum de {8}, à <style=KeyWord>tous</style> les Héros au <style=KeyWord>début</style> du tour des Héros.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1} or {2} 每 <style=KeyWord>缺少</style> {0}  :
在英雄回合<style=KeyWord>开始</style>时，<style=KeyWord>所有</style>英雄获得 {3}，上限为 {8}。

<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","{1} or {2} 每 <style=KeyWord>缺少</style> {0} :
在英雄回合<style=KeyWord>開始</style>時，<style=KeyWord>所有</style>英雄獲得 {3}，上限為 {8}。

<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","{0}<style=KeyWord>失う</style>毎に{1}または{2}:
英雄のターン<style=KeyWord>開始</style>時に<style=KeyWord>すべての</style>英雄に{3}（{8}まで）。

<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","За каждые <style=KeyWord>недостающие </style> {0} ед. ({1} или {2}):
{3} (но не более {8}) <style=KeyWord>всем</style> героям в <style=KeyWord>начале</style> хода.

<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","За кожні {0} <style=KeyWord> браку параметра </style> {1} чи {2}:
{3}, але не більше {8}, <style=KeyWord>всім</style> героям <style=KeyWord>на початку</style> ходу героїв.

<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Jede {0} <style=KeyWord>, die</style> {1} oder {2} <style=KeyWord>verbraucht</style>:
{3}, bis zu {8}, für <style=KeyWord>alle</style> Helden zu <style=KeyWord>Beginn</style>des Zuges der Helden.

<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Por cada {0} de {1} o {2} <style=KeyWord>que hayas perdido</style>:
{3}, hasta un máximo de {8}, a <style=KeyWord>todos</style> los héroes al <style=KeyWord>comienzo</style> del turno de los héroes.

<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","A cada {0} de {1} ou {2} a <style=KeyWord>menos</style>:
{3}, até no máximo {8}, para <style=KeyWord>todos</style> os Heróis no <style=KeyWord>início</style> do turno dos Heróis.

<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{0} {1} 또는 {2}을 <style=KeyWord>상실</style>할 때마다:
영웅의 턴이 <style=KeyWord>시작</style>될 때 <style=KeyWord>모든</style> 영웅에 {3}(최대 {8}) 효과 부여

<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
BuildingUpgradeTooltipDescription_UpgradeSlowTrap0,"• <style=MovePoints>Move Points</style> <style=Debuff>Debuff</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>Damage</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>This will upgrade <b>every</b> Slow Trap at once.</color>","• <style=Debuff>Atténuation</style> des <style=MovePoints>Points de Mouvement</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>Dégâts</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Cela améliorera <b>tous</b> les Pièges ralentissant en même temps.</color>","• <style=MovePoints>步数</style><style=Debuff>减益</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>伤害</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>此升级将对<b>所有</b>缓速陷阱生效。</color>","• <style=MovePoints>步數</style><style=Debuff>減益效果</style><style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>傷害</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>會同時升級<b>所有</b>緩速陷阱。</color>","・<style=MovePoints>移動ポイント</style> <style=Debuff>低下</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
・<style=OverallDamage>ダメージ</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>これは<b>すべて</b>のスロートラップを同時に強化する。</color>","• <style=MovePoints>Очки перемещения</style>: <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>.
• <style=OverallDamage>Урон</style>: <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Это улучшение действует <b>на все</b> замедляющие ловушки.</color>","• <style=Debuff>Штраф</style> до <style=MovePoints>очок руху</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>Шкода</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Це одразу поліпшує <b>всі</b> пастки сповільнення.</color>","• <style=MovePoints>Bewegungspunkte</style>-<style=Debuff>Schwächung</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>.
• <style=OverallDamage>Schaden</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Dadurch wird <b>jede</b> Verlangsamungsfalle auf einmal verbessert.</color>","• <style=Debuff>Desventaja</style> de los <style=MovePoints>puntos de movimiento</style>: <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>Daño</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Mejora <b>todas</b> las trampas de ralentí a la vez.</color>","• <style=Debuff>Ônus</style> de <style=MovePoints>Pontos de Movimento:</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>Dano</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934>Melhora de uma vez só <b>TODAS</b> as Armadilhas Retardantes.</color>","• <style=MovePoints>이동력</style> <style=Debuff>디버프</style> <style=Number>-2</style> > <style=GoodNbOutlined>-3</style>
• <style=OverallDamage>피해</style> <style=""Number"">40-70</style> > <style=GoodNbOutlined>60-105</style>
<#F35934><b>모든</b> 둔화 함정을 동시에 강화합니다.</color>"
